ue_count,kpi,archived,new,diff,diff_pct
150,flowmon.dl_throughput_mbps,30.364593066666668,30.364593066666668,0.0,0.0
150,flowmon.mean_flow_delay_ms,2.237280920483232,2.237280920483232,0.0,0.0
150,flowmon.mean_flow_jitter_ms,0.3080943787632549,0.3080943787632549,0.0,0.0
150,flowmon.lostPackets,0.0,0.0,0.0,nan
150,run_summary.wallClockSeconds,1128.77,680.127,-448.64300000000003,-39.74618389928861
200,rrc_connected,200.0,200.0,0.0,0.0
200,actualRbCount,189.0,189.0,0.0,0.0
200,parser.totalRxBytes,152528944.0,152528944.0,0.0,0.0
200,parser.totalTxBytes,152532224.0,152532224.0,0.0,0.0
200,parser.totalLostPackets,0.0,0.0,0.0,nan
200,parser.avgUeSinrDb,63.8146145,63.8146145,0.0,0.0
200,parser.avgUeMcs,nan,nan,nan,nan
200,parser.avgUeRlcDelayMs,1.35682555,1.35682555,0.0,0.0
200,parser.avgUePdcpDelayMs,2.5073314499999997,2.5073314499999997,0.0,0.0
200,flowmon.dl_throughput_mbps,40.67438506666667,40.67438506666667,0.0,0.0
200,flowmon.mean_flow_delay_ms,2.518523405619914,2.518523405619914,0.0,0.0
200,flowmon.mean_flow_jitter_ms,0.3714484032753261,0.3714484032753261,0.0,0.0
200,flowmon.lostPackets,0.0,0.0,0.0,nan
200,run_summary.wallClockSeconds,1530.14,884.727,-645.4130000000001,-42.17999660161816
