metric	value
configuredUeCount	100
rrcConnectedCount	100
modeledHopDelayMs	0.1
meanRrcSetupLatencyMs	34.4257
firstDataPacketObservedCountMEASURED	100
meanFirstDataPacketTimeMsMEASURED	528.779
meanAttachToFirstDataPacketLatencyMsMEASURED	528.779
meanCoreSignalingLatencyMsMODELED	1.8
meanTotalAttachToDataLatencyMsMODELED	36.2257
simulatedSeconds	10
wallClockSeconds	98.2427
rngSeed	20260901
rngRun	1
