ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,112,27.25,14524,0.0015292,14300,0.00186891,17,14080,14080,110,110,0,1.8697818181818182
1,2,mMTC,3000,100,2,63.62669999999999,0.0,112,27.25,14524,0.00149317,14300,0.00183306,18,14080,14080,110,110,0,1.8340727272727273
2,3,mMTC,3000,100,3,64.1317,0.0,112,27.25,14524,0.00145714,14300,0.00179721,19,14080,14080,110,110,0,1.7983545454545453
3,4,mMTC,3000,100,4,63.7293,0.0,113,27.008849557522122,14526,0.00142237,14300,0.00176688,20,14080,14080,110,110,0,1.7681636363636364
4,5,mMTC,3000,100,5,63.93760000000001,0.0,112,27.25,14524,0.00138539,14300,0.00172519,21,14080,14080,110,110,0,1.7266
5,6,mMTC,3000,100,6,63.7606,0.0,113,27.008849557522122,14526,0.00135063,14300,0.00169518,22,14080,14080,110,110,0,1.6967272727272726
6,7,mMTC,3000,100,7,63.6358,0.0,113,27.008849557522122,14526,0.0013146,14300,0.00165901,23,14080,14080,110,110,0,1.6606909090909092
7,8,mMTC,3000,100,8,63.831399999999995,0.0,113,27.008849557522122,14526,0.00127857,14300,0.00162283,24,14080,14080,110,110,0,1.6246545454545454
8,9,mMTC,3000,100,9,63.6977,0.0,113,27.008849557522122,14526,0.00124254,14300,0.00158666,25,14080,14080,110,110,0,1.588618181818182
9,10,mMTC,3000,100,10,63.75790000000001,0.0,113,27.008849557522122,14526,0.00120651,14300,0.00155048,26,14080,14080,110,110,0,1.5525727272727272
10,11,Web,133000,600,11,63.9882,0.0,826,27.796610169491526,518252,0.00121562,516600,0.00147215,9,514960,514960,820,820,0,1.4733292682926828
11,12,Web,133000,600,12,63.6021,0.0,826,27.796610169491526,518252,0.00117912,516600,0.00143368,10,514960,514960,820,820,0,1.435390243902439
12,13,Web,133000,600,26,64.0332,0.0,826,27.796610169491526,518252,0.00125176,516600,0.0015068,11,514960,514960,820,820,0,1.509048780487805
13,14,Web,133000,600,27,63.9462,0.0,826,27.796610169491526,518252,0.00128791,516600,0.00154197,12,514960,514960,820,820,0,1.5447560975609758
14,15,Mobile,166000,800,28,64.0069,0.0,773,27.782664941785253,638156,0.00125177,636610,0.00151143,13,635076,635076,767,767,0,1.5129335071707952
15,16,Mobile,166000,800,29,63.5421,0.0,773,27.782664941785253,638156,0.00128786,636610,0.00154645,14,635076,635076,767,767,0,1.54864406779661
16,17,Mobile,166000,800,30,63.415,0.0,773,27.782664941785253,638156,0.00121269,636610,0.0014658,15,635076,635076,767,767,0,1.4686962190352022
17,18,Mobile,166000,800,31,63.8885,0.0,773,27.782664941785253,638156,0.00117803,636610,0.00143666,16,635076,635076,767,767,0,1.4402477183833116
18,19,VoD,725000,1200,32,63.732400000000005,0.0,2241,27.92503346720214,2753532,0.00124411,2749050,0.0015027,2,2744580,2744580,2235,2235,0,1.5048322147651008
19,20,VoD,725000,1200,33,64.051,0.0,2241,27.92503346720214,2753532,0.00120811,2749050,0.00146597,3,2744580,2744580,2235,2235,0,1.4691185682326622
20,21,VoD,725000,1200,34,63.8462,0.0,2241,27.92503346720214,2753532,0.00117237,2749050,0.00142881,4,2744580,2744580,2235,2235,0,1.4329709172259508
21,22,Live,478000,1200,35,63.8979,0.0,1479,27.886409736308316,1814748,0.00124423,1811790,0.001499,5,1808844,1808844,1473,1473,0,1.5011405295315683
22,23,Live,478000,1200,36,64.0655,0.0,1479,27.886409736308316,1814748,0.00120811,1811790,0.00146227,6,1808844,1808844,1473,1473,0,1.4654243041412085
23,24,Live,478000,1200,39,64.0302,0.0,1479,27.886409736308316,1814748,0.00117198,1811790,0.00142554,7,1808844,1808844,1473,1473,0,1.4297080787508485
24,25,V2X,99000,300,40,63.358,0.0,1220,27.977049180327867,405040,0.00117166,402600,0.00143348,8,400488,400160,1221,1220,0,1.4341065573770493
