metric	value
configuredUeCount	200
rrcConnectedCount	200
modeledHopDelayMs	0.1
meanRrcSetupLatencyMs	53.1607
firstDataPacketObservedCountMEASURED	200
meanFirstDataPacketTimeMsMEASURED	530.324
meanAttachToFirstDataPacketLatencyMsMEASURED	530.324
meanCoreSignalingLatencyMsMODELED	1.8
meanTotalAttachToDataLatencyMsMODELED	54.9607
simulatedSeconds	10
wallClockSeconds	367.593
rngSeed	20260901
rngRun	1
