ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,111,,14522,0.00155624,14300,0.00337803,122,14080,14080,110,110,0,3.3834181818181817
1,2,mMTC,3000,100,2,63.6267,0.0,111,,14522,0.00155045,14300,0.00337237,123,14080,14080,110,110,0,3.3779
2,3,mMTC,3000,100,3,64.1317,0.0,111,,14522,0.00154562,14300,0.00337224,124,14080,14080,110,110,0,3.3779
3,4,mMTC,3000,100,4,63.7293,0.0,111,,14522,0.00153339,14300,0.003351,125,14080,14080,110,110,0,3.3567909090909094
4,5,mMTC,3000,100,5,63.9376,0.0,111,,14522,0.00154047,14300,0.00336742,126,14080,14080,110,110,0,3.3733545454545455
5,6,mMTC,3000,100,6,63.7606,0.0,111,,14522,0.00152503,14300,0.00335657,127,14080,14080,110,110,0,3.362636363636364
6,7,mMTC,3000,100,7,63.6358,0.0,111,,14522,0.00152213,14300,0.00334929,128,14080,14080,110,110,0,3.3555
7,8,mMTC,3000,100,8,63.83140000000001,0.0,111,,14522,0.00151731,14300,0.00334915,129,14080,14080,110,110,0,3.3555
8,9,mMTC,3000,100,9,63.6977,0.0,111,,14522,0.00149511,14300,0.00331525,130,14080,14080,110,110,0,3.321727272727273
9,10,mMTC,3000,100,10,63.7579,0.0,111,,14522,0.00150572,14300,0.00332161,131,14080,14080,110,110,0,3.328227272727273
10,11,mMTC,3000,100,11,63.9882,0.0,111,,14522,0.00150379,14300,0.00332894,132,14080,14080,110,110,0,3.3356909090909093
11,12,mMTC,3000,100,12,63.6021,0.0,111,,14522,0.00150283,14300,0.00331906,133,14080,14080,110,110,0,3.3259545454545454
12,13,mMTC,3000,100,565,64.0332,0.0,111,,14522,0.00144942,14300,0.00326536,134,14080,14080,110,110,0,3.2723818181818185
13,14,mMTC,3000,100,566,63.9462,0.0,111,,14522,0.00143301,14300,0.00326717,135,14080,14080,110,110,0,3.2743272727272728
14,15,mMTC,3000,100,567,64.0069,0.0,111,,14522,0.00140309,14300,0.00321444,136,14080,14080,110,110,0,3.2217272727272728
15,16,mMTC,3000,100,568,63.5421,0.0,111,,14522,0.00145006,14300,0.00328021,137,14080,14080,110,110,0,3.2876363636363637
16,17,mMTC,3000,100,569,63.415,0.0,111,,14522,0.00141049,14300,0.00321774,138,14080,14080,110,110,0,3.2253
17,18,mMTC,3000,100,570,63.8885,0.0,111,,14522,0.0014137,14300,0.0032439,139,14080,14080,110,110,0,3.2516
18,19,mMTC,3000,100,571,63.7324,0.0,111,,14522,0.00140695,14300,0.00323272,140,14080,14080,110,110,0,3.2405636363636363
19,20,mMTC,3000,100,572,64.051,0.0,111,,14522,0.00139922,14300,0.00320694,141,14080,14080,110,110,0,3.214909090909091
20,21,mMTC,3000,100,573,63.8462,0.0,111,,14522,0.00140727,14300,0.00321589,142,14080,14080,110,110,0,3.224
21,22,mMTC,3000,100,574,63.8979,0.0,111,,14522,0.0014092,14300,0.00321348,143,14080,14080,110,110,0,3.2217272727272728
22,23,mMTC,3000,100,575,64.0655,0.0,111,,14522,0.00139022,14300,0.00320361,144,14080,14080,110,110,0,3.2119909090909093
23,24,mMTC,3000,100,576,64.0302,0.0,111,,14522,0.00138475,14300,0.00318919,145,14080,14080,110,110,0,3.1977090909090906
24,25,mMTC,3000,100,886,63.358,0.0,111,,14522,0.00137638,14300,0.00317963,146,14080,14080,110,110,0,3.188290909090909
25,26,mMTC,3000,100,887,63.7811,0.0,111,,14522,0.0013648,14300,0.00317723,147,14080,14080,110,110,0,3.1860181818181816
26,27,mMTC,3000,100,888,63.6197,0.0,111,,14522,0.00133809,14300,0.00314592,148,14080,14080,110,110,0,3.1548454545454545
27,28,mMTC,3000,100,889,63.7071,0.0,111,,14522,0.00133359,14300,0.00313702,149,14080,14080,110,110,0,3.1460818181818184
28,29,mMTC,3000,100,890,63.529,0.0,111,,14522,0.0013175,14300,0.00312097,150,14080,14080,110,110,0,3.130172727272727
29,30,mMTC,3000,100,891,63.5418,0.0,111,,14522,0.00132619,14300,0.00313447,151,14080,14080,110,110,0,3.143809090909091
30,31,mMTC,3000,100,892,63.9244,0.0,111,,14522,0.00132844,14300,0.00314148,152,14080,14080,110,110,0,3.1509545454545456
31,32,mMTC,3000,100,893,63.9243,0.0,111,,14522,0.00132683,14300,0.00314005,153,14080,14080,110,110,0,3.1496545454545455
32,33,mMTC,3000,100,894,64.1605,0.0,111,,14522,0.00130849,14300,0.00311264,154,14080,14080,110,110,0,3.122381818181818
33,34,mMTC,3000,100,1024,63.69180000000001,0.0,111,,14522,0.00129369,14300,0.00309789,155,14080,14080,110,110,0,3.107772727272727
34,35,mMTC,3000,100,1025,63.80819999999999,0.0,111,,14522,0.00128275,14300,0.0030825,156,14080,14080,110,110,0,3.0925090909090907
35,36,mMTC,3000,100,1026,63.6584,0.0,111,,14522,0.00127535,14300,0.00307522,157,14080,14080,110,110,0,3.085372727272727
36,37,mMTC,3000,100,1027,63.9177,0.0,111,,14522,0.0013146,14300,0.00310657,158,14080,14080,110,110,0,3.1168636363636364
37,38,mMTC,3000,100,1028,63.697300000000006,0.0,111,,14522,0.00130334,14300,0.00310449,159,14080,14080,110,110,0,3.1149181818181817
38,39,mMTC,3000,100,1029,64.1699,0.0,111,,14522,0.00128082,14300,0.00309104,160,14080,14080,110,110,0,3.1016
39,40,mMTC,3000,100,1030,63.8737,0.0,111,,14522,0.00128372,14300,0.00308506,161,14080,14080,110,110,0,3.0957545454545454
40,41,mMTC,3000,100,1031,63.76570000000001,0.0,111,,14522,0.00128693,14300,0.0030885,162,14080,14080,110,110,0,3.099327272727273
41,42,mMTC,3000,100,1032,63.9702,0.0,111,,14522,0.00128854,14300,0.00309031,163,14080,14080,110,110,0,3.1012818181818185
42,43,mMTC,3000,100,1033,63.7813,0.0,111,,14522,0.00125862,14300,0.00306485,164,14080,14080,110,110,0,3.0759545454545454
43,44,mMTC,3000,100,1034,64.012,0.0,111,,14522,0.00126473,14300,0.00305757,165,14080,14080,110,110,0,3.068809090909091
44,45,mMTC,3000,100,1035,63.582800000000006,0.0,111,,14522,0.00125058,14300,0.00305711,166,14080,14080,110,110,0,3.0684818181818185
45,46,mMTC,3000,100,1153,64.0222,0.0,111,,14522,0.00126859,14300,0.00306184,167,14080,14080,110,110,0,3.0733545454545452
46,47,mMTC,3000,100,1154,63.82730000000001,0.0,111,,14522,0.00124414,14300,0.00305554,168,14080,14080,110,110,0,3.0671909090909093
47,48,mMTC,3000,100,1155,64.1906,0.0,111,,14522,0.00121937,14300,0.00301709,169,14080,14080,110,110,0,3.028872727272727
48,49,mMTC,3000,100,1156,63.4072,0.0,111,,14522,0.00125347,14300,0.0030478,170,14080,14080,110,110,0,3.0597181818181816
49,50,mMTC,3000,100,1157,63.8448,0.0,111,,14522,0.00122805,14300,0.00301779,171,14080,14080,110,110,0,3.0298454545454545
50,51,mMTC,3000,100,1158,63.5542,0.0,111,,14522,0.00124414,14300,0.00303422,172,14080,14080,110,110,0,3.0464090909090906
51,52,mMTC,3000,100,1159,63.9147,0.0,111,,14522,0.00122999,14300,0.00303374,173,14080,14080,110,110,0,3.0460818181818183
52,53,mMTC,3000,100,1160,64.1792,0.0,111,,14522,0.0012287,14300,0.00302809,174,14080,14080,110,110,0,3.040563636363636
53,54,mMTC,3000,100,1161,63.8628,0.0,111,,14522,0.00122966,14300,0.00302016,175,14080,14080,110,110,0,3.032772727272727
