ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,111,27.495495495495497,14522,0.00129369,14300,0.00162717,8,14080,14080,110,110,0,1.6275727272727274
1,2,mMTC,3000,100,2,63.6267,0.0,111,27.495495495495497,14522,0.00125733,14300,0.00159132,9,14080,14080,110,110,0,1.5918636363636365
2,3,mMTC,3000,100,3,64.1317,0.0,111,27.495495495495497,14522,0.00122098,14300,0.00155547,10,14080,14080,110,110,0,1.5561454545454545
3,4,mMTC,3000,100,4,63.7293,0.0,111,27.495495495495497,14522,0.00118462,14300,0.00151962,11,14080,14080,110,110,0,1.5204363636363636
4,5,Web,133000,600,5,63.9376,0.0,822,27.8978102189781,518244,0.00121109,516600,0.00146156,4,514960,514960,820,820,0,1.4627073170731708
5,6,Web,133000,600,6,63.7606,0.0,822,27.8978102189781,518244,0.00117477,516600,0.00142514,5,514960,514960,820,820,0,1.4268170731707317
6,7,Mobile,166000,800,7,63.635799999999996,0.0,770,27.854545454545455,638150,0.00121057,636610,0.00146271,6,635076,635076,767,767,0,1.4641720990873532
7,8,Mobile,166000,800,8,63.8314,0.0,770,27.854545454545455,638150,0.00117402,636610,0.00142611,7,635076,635076,767,767,0,1.4282790091264668
8,9,VoD,725000,1200,9,63.6977,0.0,2237,27.962449709432274,2753524,0.00117194,2749050,0.00142876,2,2744580,2744580,2235,2235,0,1.4308948545861297
9,10,Live,478000,1200,10,63.7579,0.0,1475,27.943050847457627,1814740,0.00117213,1811790,0.00142421,3,1808844,1808844,1473,1473,0,1.4263408010862186
