metric	value
configuredUeCount	150
rrcConnectedCount	150
simulatedSeconds	30
wallClockSeconds	1084.28
rngSeed	20260901
rngRun	1
actualRbCount	189
noiseEnabled	true
noiseModel	lognormal_rate_jitter_v1
