ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.47030000000001,0.0,42,27.333333333333332,9156,0.00117993,9072,0.00143132,19,8988,8988,42,42,0,1.431752380952381
1,2,mMTC,3000,100,2,63.62670000000001,0.0,85,27.67058823529412,8925,0.00117437,8755,0.00141767,42,8585,8585,85,85,0,1.4179058823529411
2,3,mMTC,3000,100,3,64.1317,0.0,33,27.151515151515152,3168,0.00117684,3102,0.00140934,49,3036,3036,33,33,0,1.409560606060606
3,4,mMTC,3000,100,4,63.7293,0.0,118,27.76271186440678,15340,0.00117778,15104,0.00143699,26,14868,14868,118,118,0,1.437271186440678
4,5,mMTC,3000,100,5,63.9376,0.0,23,26.782608695652176,4876,0.00117919,4830,0.00141627,47,4784,4784,23,23,0,1.416682608695652
5,6,mMTC,3000,100,6,63.76059999999999,0.0,84,27.67058823529412,17136,0.00117695,16968,0.00143102,17,17000,16800,85,84,0,1.4314285714285713
6,7,mMTC,3000,100,7,63.635799999999996,0.0,3,18.666666666666668,732,0.00124286,726,0.00151892,51,720,720,3,3,0,1.5193866666666667
7,8,mMTC,3000,100,8,63.8314,0.0,87,27.67816091954023,10005,0.00117594,9831,0.00143108,41,9657,9657,87,87,0,1.4313333333333333
8,9,mMTC,3000,100,9,63.6977,0.0,24,26.833333333333332,4680,0.00118333,4632,0.00146283,46,4584,4584,24,24,0,1.4632208333333332
9,10,mMTC,3000,100,10,63.75790000000001,0.0,19,26.526315789473685,3781,0.00118458,3743,0.00141991,48,3705,3705,19,19,0,1.4203105263157894
10,11,mMTC,3000,100,11,63.9882,0.0,57,27.50877192982456,9405,0.00117769,9291,0.00142995,23,9177,9177,57,57,0,1.4302894736842107
11,12,mMTC,3000,100,12,63.6021,0.0,36,27.22222222222222,4500,0.00117936,4428,0.00142418,44,4356,4356,36,36,0,1.4244555555555556
12,13,mMTC,3000,100,51,64.0332,0.0,65,27.56923076923077,11635,0.00117692,11505,0.00143,40,11375,11375,65,65,0,1.4303584615384615
13,14,mMTC,3000,100,52,63.946200000000005,0.0,81,27.65432098765432,12231,0.00117848,12069,0.00140699,10,11907,11907,81,81,0,1.4073086419753085
14,15,mMTC,3000,100,53,64.0069,0.0,2,0.0,558,0.00142143,554,0.00184402,50,550,550,2,2,0,1.84455
15,16,mMTC,3000,100,54,63.5421,0.0,38,27.263157894736842,8930,0.00117989,8854,0.00151249,39,8778,8778,38,38,0,1.512942105263158
16,17,mMTC,3000,100,55,63.415000000000006,0.0,93,27.698924731182796,9579,0.00117757,9393,0.00142344,45,9207,9207,93,93,0,1.4236774193548387
17,18,mMTC,3000,100,56,63.8885,0.0,46,27.391304347826086,10994,0.00118074,10902,0.0014338,11,10810,10810,46,46,0,1.4343021739130435
18,19,mMTC,3000,100,57,63.7324,0.0,28,27.0,6272,0.00118418,6216,0.00144693,43,6160,6160,28,28,0,1.4473714285714285
19,20,mMTC,3000,100,58,64.051,0.0,53,27.471698113207548,10547,0.00117682,10441,0.00142454,7,10335,10335,53,53,0,1.4249396226415094
20,21,Web,133000,600,59,63.84620000000001,0.0,517,27.891682785299807,347786,0.00117578,346752,0.00142624,36,345720,345720,516,516,0,1.427437984496124
21,22,Web,133000,600,60,63.8979,0.0,657,27.91476407914764,487410,0.00117632,486096,0.0014267,21,484784,484784,656,656,0,1.4280137195121951
22,23,Web,133000,600,61,64.0655,0.0,463,27.758099352051836,685866,0.00121408,684940,0.00146196,29,684020,684020,460,460,0,1.4645217391304348
23,24,Web,133000,600,62,64.0302,0.0,762,27.926509186351705,461929,0.00117789,460405,0.00142736,38,458883,458883,761,761,0,1.4284494086727988
24,25,Web,133000,600,89,63.358,0.0,608,27.861842105263158,702964,0.00117801,701748,0.00142707,5,700536,700536,606,606,0,1.4290808580858085
25,26,Web,133000,600,90,63.7811,0.0,412,27.796116504854368,435014,0.00117802,434190,0.00142643,3,433370,433370,410,410,0,1.428270731707317
26,27,Web,133000,600,91,63.6197,0.0,426,27.737089201877936,575709,0.00118065,574857,0.00143073,22,574011,574011,423,423,0,1.433080378250591
27,28,Web,133000,600,92,63.707100000000004,0.0,282,27.70212765957447,379964,0.00118194,379400,0.00143206,14,378840,378840,280,280,0,1.4344
28,29,Mobile,166000,800,93,63.529,0.0,1048,27.946564885496183,571664,0.00118349,569568,0.00143363,37,567474,567474,1047,1047,0,1.4346131805157594
29,30,Mobile,166000,800,94,63.5418,0.0,1299,27.956889915319476,968310,0.00117899,965712,0.0014292,6,963116,963116,1298,1298,0,1.430508474576271
30,31,Mobile,166000,800,95,63.9244,0.0,303,27.722772277227723,373244,0.00118156,372638,0.00143168,8,372036,372036,301,301,0,1.4338239202657808
31,32,Mobile,166000,800,96,63.9243,0.0,463,27.818574514038875,495118,0.00118315,494192,0.00143117,20,493270,493270,461,461,0,1.4330325379609545
32,33,Mobile,166000,800,97,64.1605,0.0,928,27.939655172413794,727697,0.00118151,725841,0.00143245,27,723987,723987,927,927,0,1.4338295577130529
33,34,Mobile,166000,800,98,63.6918,0.0,642,27.825545171339563,892050,0.00121882,890766,0.00147033,18,889488,889488,639,639,0,1.4727402190923318
34,35,Mobile,166000,800,99,63.8082,0.0,925,27.90918918918919,965462,0.00118324,963612,0.00143356,35,961766,961766,923,923,0,1.435373781148429
35,36,Mobile,166000,800,115,63.65840000000001,0.0,291,27.711340206185568,276288,0.00118542,275706,0.00143637,34,275128,275128,289,289,0,1.4380380622837372
36,37,VoD,725000,1200,116,63.9177,0.0,1932,27.942028985507246,2376534,0.00118357,2372670,0.00143343,16,2368812,2368812,1929,1929,0,1.4355572835666148
37,38,VoD,725000,1200,117,63.6973,0.0,1940,27.956701030927835,2387620,0.00118501,2383740,0.00143551,25,2379864,2379864,1938,1938,0,1.4376418988648092
38,39,VoD,725000,1200,118,64.1699,0.0,2063,27.959282598158023,2539156,0.00118448,2535030,0.00143459,2,2530908,2530908,2061,2061,0,1.4367200388161085
39,40,VoD,725000,1200,119,63.8737,0.0,1823,27.95392210641799,2243476,0.00118796,2239830,0.00143832,30,2236188,2236188,1821,1821,0,1.440455793520044
40,41,VoD,725000,1200,120,63.765699999999995,0.0,1621,27.948180135718694,1994612,0.00118991,1991370,0.00143958,31,1988132,1988132,1619,1619,0,1.4417109326744904
41,42,VoD,725000,1200,121,63.9702,0.0,1942,27.956745623069,2390084,0.00118877,2386200,0.00143975,13,2382320,2382320,1940,1940,0,1.4418762886597938
42,43,Live,478000,1200,122,63.7813,0.0,961,27.883454734651405,1180262,0.00119354,1178340,0.00144423,32,1176424,1176424,958,958,0,1.446356993736952
43,44,Live,478000,1200,123,64.012,0.0,1233,27.931873479318735,1516596,0.0011935,1514130,0.00144318,28,1511668,1511668,1231,1231,0,1.4453127538586514
44,45,Live,478000,1200,124,63.5828,0.0,1069,27.921421889616465,1314548,0.00119211,1312410,0.00144164,24,1310276,1310276,1067,1067,0,1.4437769447047797
45,46,Live,478000,1200,125,64.0222,0.0,1292,27.934984520123837,1589284,0.00119492,1586700,0.00144505,15,1584120,1584120,1290,1290,0,1.4471782945736436
46,47,Live,478000,1200,130,63.8273,0.0,1520,27.944736842105264,1870180,0.0011738,1867140,0.00142403,9,1864104,1864104,1518,1518,0,1.426159420289855
47,48,Live,478000,1200,131,64.1906,0.0,1314,27.936121673003804,1616388,0.00117298,1613760,0.00142046,33,1612364,1611136,1313,1312,0,1.4225914634146342
48,49,V2X,99000,300,132,63.407199999999996,0.0,709,27.92101551480959,364622,0.00117254,363204,0.0014129,12,361788,361788,708,708,0,1.4138276836158192
49,50,V2X,99000,300,133,63.8448,0.0,825,27.966101694915253,378675,0.0011719,377025,0.0014153,4,375830,375375,826,825,0,1.4161333333333332
