metric	value
configuredUeCount	50
rrcConnectedCount	50
modeledHopDelayMs	0.1
meanRrcSetupLatencyMs	25.1257
firstDataPacketObservedCountMEASURED	50
meanFirstDataPacketTimeMsMEASURED	528.391
meanAttachToFirstDataPacketLatencyMsMEASURED	528.391
meanCoreSignalingLatencyMsMODELED	1.8
meanTotalAttachToDataLatencyMsMODELED	26.9257
simulatedSeconds	10
wallClockSeconds	34.9197
rngSeed	20260901
rngRun	1
