ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.47030000000001,0.0,42,27.333333333333332,9156,0.00118078,9072,0.00143217,3,8988,8988,42,42,0,1.4326023809523811
1,2,mMTC,3000,100,2,63.62670000000001,0.0,85,27.67058823529412,8925,0.00117563,8755,0.00141893,10,8585,8585,85,85,0,1.419164705882353
2,3,mMTC,3000,100,3,64.1317,0.0,33,27.151515151515152,3168,0.00117792,3102,0.00141042,11,3036,3036,33,33,0,1.4106424242424243
3,4,mMTC,3000,100,4,63.7293,0.0,118,27.76271186440678,15340,0.00117748,15104,0.00143669,4,14868,14868,118,118,0,1.4369661016949151
4,5,Web,133000,600,5,63.9376,0.0,373,27.77479892761394,423315,0.00117813,422569,0.00143095,8,421827,421827,371,371,0,1.4329245283018868
5,6,Web,133000,600,6,63.7606,0.0,822,27.8978102189781,904464,0.00117516,902820,0.00142492,2,901180,901180,820,820,0,1.4268292682926829
6,7,Mobile,166000,800,7,63.635799999999996,0.0,197,27.573604060913706,239854,0.00117959,239460,0.00142985,9,239070,239070,195,195,0,1.431974358974359
7,8,Mobile,166000,800,8,63.83140000000001,0.0,1052,27.9467680608365,664234,0.00117418,662130,0.00142449,6,660028,660028,1051,1051,0,1.4256137012369172
8,9,VoD,725000,1200,9,63.6977,0.0,1766,27.952434881087203,2173252,0.00117282,2169720,0.00142282,5,2166192,2166192,1764,1764,0,1.4249546485260771
9,10,Live,478000,1200,10,63.75790000000001,0.0,1123,27.925200356188782,1381076,0.00117235,1378830,0.00142186,7,1376588,1376588,1121,1121,0,1.4239964317573595
