ue_id,traffic_class,scenario,num_ues,attach_success,attach_time_s,pdu_session_established,bearer_setup_latency_ms,active_drb_count,mean_dl_sinr_db,mean_ul_sinr_db,mean_rsrp_dbm,mean_dl_bler_pct,mean_dl_mcs,mean_ul_mcs,harq_retx_count,mean_cqi,dl_tput_mbps,ul_tput_mbps,dl_bytes,ul_bytes,packet_loss_pct,mean_jitter_ms,mean_e2e_delay_ms,target_dl_rate_mbps,target_ul_rate_mbps,bip_accuracy,bip_false_positive_rate,bip_missed_prediction_rate,macce_adaptation_latency_ms,data_source,simulation_label
8,mMTC,A,25,True,NA,NA,NA,NA,63.6977,NA,NA,0.0,27.008849557522122,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23365818181818182,1.588618181818182,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
9,mMTC,A,25,True,NA,NA,NA,NA,63.75790000000001,NA,NA,0.0,27.008849557522122,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23333363636363635,1.5525727272727272,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
10,Web,A,25,True,NA,NA,NA,NA,63.9882,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16238780487804877,1.4733292682926828,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
11,Web,A,25,True,NA,NA,NA,NA,63.6021,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.1579451219512195,1.435390243902439,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
12,Web,A,25,True,NA,NA,NA,NA,64.0332,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16238780487804877,1.509048780487805,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
13,Web,A,25,True,NA,NA,NA,NA,63.9462,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16238780487804877,1.5447560975609758,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
14,Mobile,A,25,True,NA,NA,NA,NA,64.0069,NA,NA,0.0,27.782664941785253,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.11840508474576271,1.5129335071707952,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
15,Mobile,A,25,True,NA,NA,NA,NA,63.5421,NA,NA,0.0,27.782664941785253,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.11840508474576271,1.54864406779661,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
16,Mobile,A,25,True,NA,NA,NA,NA,63.415,NA,NA,0.0,27.782664941785253,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.10331851368970013,1.4686962190352022,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
17,Mobile,A,25,True,NA,NA,NA,NA,63.8885,NA,NA,0.0,27.782664941785253,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.11784628422425032,1.4402477183833116,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
18,VoD,A,25,True,NA,NA,NA,NA,63.732400000000005,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.2535181208053691,1.5048322147651008,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
19,VoD,A,25,True,NA,NA,NA,NA,64.051,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.2535181208053691,1.4691185682326622,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
20,VoD,A,25,True,NA,NA,NA,NA,63.8462,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.25265548098434004,1.4329709172259508,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
21,Live,A,25,True,NA,NA,NA,NA,63.8979,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.14557841140529532,1.5011405295315683,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
22,Live,A,25,True,NA,NA,NA,NA,64.0655,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.14557841140529532,1.4654243041412085,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
23,Live,A,25,True,NA,NA,NA,NA,64.0302,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.14557841140529532,1.4297080787508485,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
24,V2X,A,25,True,NA,NA,NA,NA,63.358,NA,NA,0.0,27.977049180327867,NA,0,NA,0.10670933333333334,0.0,400160,0,0.0,0.25963524590163933,1.4341065573770493,0.099,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
0,mMTC,A,50,True,NA,NA,NA,NA,63.4703,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.22781454545454544,1.915881818181818,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
1,mMTC,A,50,True,NA,NA,NA,NA,63.6267,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.5628790909090909,2.0477,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
2,mMTC,A,50,True,NA,NA,NA,NA,64.1317,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.2310609090909091,2.3438090909090907,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
3,mMTC,A,50,True,NA,NA,NA,NA,63.729299999999995,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.2310609090909091,2.308090909090909,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
4,mMTC,A,50,True,NA,NA,NA,NA,63.9376,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23528181818181818,2.2766,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
5,mMTC,A,50,True,NA,NA,NA,NA,63.7606,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23528181818181818,2.240890909090909,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
6,mMTC,A,50,True,NA,NA,NA,NA,63.6358,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23528181818181818,2.205172727272727,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
7,mMTC,A,50,True,NA,NA,NA,NA,63.8314,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23528181818181818,2.1694636363636364,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
8,mMTC,A,50,True,NA,NA,NA,NA,63.6977,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23528181818181818,2.1337454545454544,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
9,mMTC,A,50,True,NA,NA,NA,NA,63.75790000000001,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.24502181818181817,1.8499818181818182,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
10,mMTC,A,50,True,NA,NA,NA,NA,63.9882,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.24502181818181817,1.8142636363636364,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
11,mMTC,A,50,True,NA,NA,NA,NA,63.6021,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.24502181818181817,1.7785454545454547,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
12,mMTC,A,50,True,NA,NA,NA,NA,64.0332,NA,NA,0.0,27.017543859649123,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.23528181818181818,2.098027272727273,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
13,mMTC,A,50,True,NA,NA,NA,NA,63.9462,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.25151545454545454,1.7493272727272726,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
14,mMTC,A,50,True,NA,NA,NA,NA,64.0069,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.25151545454545454,1.713618181818182,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
15,mMTC,A,50,True,NA,NA,NA,NA,63.54209999999999,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.25151545454545454,1.6779,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
16,mMTC,A,50,True,NA,NA,NA,NA,63.415,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.25151545454545454,1.6421909090909093,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
17,mMTC,A,50,True,NA,NA,NA,NA,63.8885,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.25151545454545454,1.6064727272727273,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
18,mMTC,A,50,True,NA,NA,NA,NA,63.7324,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.25151545454545454,1.5707545454545455,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
19,mMTC,A,50,True,NA,NA,NA,NA,64.051,NA,NA,0.0,27.256637168141594,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.25151545454545454,1.5350454545454546,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
20,Web,A,50,True,NA,NA,NA,NA,63.8462,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.1682609756097561,1.437829268292683,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
21,Web,A,50,True,NA,NA,NA,NA,63.8979,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.1731707317073171,1.4765487804878048,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
22,Web,A,50,True,NA,NA,NA,NA,64.0655,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16564756097560976,1.5077439024390242,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
23,Web,A,50,True,NA,NA,NA,NA,64.0302,NA,NA,0.0,27.796610169491526,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16564756097560976,1.543451219512195,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
24,Web,A,50,True,NA,NA,NA,NA,63.358,NA,NA,0.0,27.830303030303032,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16381829268292683,1.577512195121951,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
25,Web,A,50,True,NA,NA,NA,NA,63.7811,NA,NA,0.0,27.830303030303032,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.1713280487804878,1.6207560975609756,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
