ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,113,27.256637168141594,14526,0.00152098,14300,0.00215018,32,14080,14080,110,110,0,2.1516
1,2,mMTC,3000,100,2,63.6267,0.0,113,27.256637168141594,14526,0.00150328,14300,0.00213739,33,14080,14080,110,110,0,2.138936363636364
2,3,mMTC,3000,100,3,64.1317,0.0,113,27.256637168141594,14526,0.0014761,14300,0.00210576,34,14080,14080,110,110,0,2.1074454545454544
3,4,mMTC,3000,100,4,63.7293,0.0,113,27.256637168141594,14526,0.00145145,14300,0.00208582,35,14080,14080,110,110,0,2.0876363636363635
4,5,mMTC,3000,100,5,63.9376,0.0,113,27.256637168141594,14526,0.00143122,14300,0.00206458,36,14080,14080,110,110,0,2.0665363636363634
5,6,mMTC,3000,100,6,63.7606,0.0,113,27.256637168141594,14526,0.0013993,14300,0.00203262,37,14080,14080,110,110,0,2.034718181818182
6,7,mMTC,3000,100,7,63.6358,0.0,113,27.256637168141594,14526,0.00139582,14300,0.00203443,38,14080,14080,110,110,0,2.0366636363636363
7,8,mMTC,3000,100,8,63.831399999999995,0.0,113,27.256637168141594,14526,0.0013756,14300,0.0020054,39,14080,14080,110,110,0,2.0077727272727275
8,9,mMTC,3000,100,9,63.6977,0.0,113,27.256637168141594,14526,0.0014407,14300,0.0019478,40,14080,14080,110,110,0,1.9503
9,10,mMTC,3000,100,10,63.7579,0.0,114,27.017543859649123,14528,0.00140138,14300,0.0019389,41,14080,14080,110,110,0,1.9415363636363636
10,11,mMTC,3000,100,11,63.9882,0.0,114,27.017543859649123,14528,0.00138007,14300,0.00189525,42,14080,14080,110,110,0,1.8980272727272727
11,12,mMTC,3000,100,12,63.6021,0.0,114,27.017543859649123,14528,0.00135908,14300,0.00188375,43,14080,14080,110,110,0,1.8866636363636364
12,13,mMTC,3000,100,51,64.0332,0.0,114,27.017543859649123,14528,0.00133966,14300,0.0018531,44,14080,14080,110,110,0,1.8561454545454545
13,14,mMTC,3000,100,52,63.9462,0.0,114,27.017543859649123,14528,0.00131522,14300,0.00183803,45,14080,14080,110,110,0,1.8412090909090908
14,15,mMTC,3000,100,53,64.0069,0.0,114,27.017543859649123,14528,0.00129956,14300,0.00180478,46,14080,14080,110,110,0,1.8081
