ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1.0,63.47030000000001,0.0,42.0,,9156.0,0.0012335,9072.0,0.0014849,58.0,8988.0,8988.0,42.0,42.0,0.0,1.4853214285714287
1,2,mMTC,3000,100,2.0,63.62670000000001,0.0,85.0,,8925.0,0.00124285,8755.0,0.00148616,166.0,8585.0,8585.0,85.0,85.0,0.0,1.4864
2,3,mMTC,3000,100,3.0,64.1317,0.0,33.0,,3168.0,0.00123095,3102.0,0.00146345,194.0,3036.0,3036.0,33.0,33.0,0.0,1.4636727272727272
3,4,mMTC,3000,100,4.0,63.7293,0.0,118.0,,15340.0,0.00124618,15104.0,0.00150539,87.0,14868.0,14868.0,118.0,118.0,0.0,1.5056694915254236
4,5,mMTC,3000,100,5.0,63.9376,0.0,23.0,,4876.0,0.00123975,4830.0,0.00147682,181.0,4784.0,4784.0,23.0,23.0,0.0,1.4772391304347827
5,6,mMTC,3000,100,6.0,63.76059999999999,0.0,84.0,,17136.0,0.00124073,16968.0,0.00149478,50.0,17000.0,16800.0,85.0,84.0,0.0,1.4952023809523811
6,7,mMTC,3000,100,7.0,63.635799999999996,0.0,3.0,,732.0,0.00127857,726.0,0.00155463,198.0,720.0,720.0,3.0,3.0,0.0,1.5551
7,8,mMTC,3000,100,8.0,63.8314,0.0,87.0,,10005.0,0.00123629,9831.0,0.00149141,157.0,9657.0,9657.0,87.0,87.0,0.0,1.4916781609195404
8,9,mMTC,3000,100,9.0,63.6977,0.0,24.0,,4680.0,0.0012622,4632.0,0.0015417,180.0,4584.0,4584.0,24.0,24.0,0.0,1.5420916666666666
9,10,mMTC,3000,100,10.0,63.75790000000001,0.0,19.0,,3781.0,0.00124098,3743.0,0.0014763,185.0,3705.0,3705.0,19.0,19.0,0.0,1.4767
10,11,mMTC,3000,100,11.0,63.9882,0.0,57.0,,9405.0,0.00124285,9291.0,0.00149511,80.0,9177.0,9177.0,57.0,57.0,0.0,1.4954526315789474
11,12,mMTC,3000,100,12.0,63.6021,0.0,36.0,,4500.0,0.00125377,4428.0,0.00149859,168.0,4356.0,4356.0,36.0,36.0,0.0,1.4988583333333332
12,13,mMTC,3000,100,565.0,64.0332,0.0,65.0,,11635.0,0.00125,11505.0,0.00150304,152.0,11375.0,11375.0,65.0,65.0,0.0,1.5034338461538463
13,14,mMTC,3000,100,566.0,63.946200000000005,0.0,81.0,,12231.0,0.00124991,12069.0,0.00147842,32.0,11907.0,11907.0,81.0,81.0,0.0,1.4787407407407407
14,15,mMTC,3000,100,567.0,64.0069,0.0,2.0,,558.0,0.00145714,554.0,0.00187973,197.0,550.0,550.0,2.0,2.0,0.0,1.88026
15,16,mMTC,3000,100,568.0,63.5421,0.0,38.0,,8930.0,0.00124379,8854.0,0.0015764,149.0,8778.0,8778.0,38.0,38.0,0.0,1.5768526315789475
16,17,mMTC,3000,100,569.0,63.415000000000006,0.0,93.0,,9579.0,0.00124746,9393.0,0.00149334,178.0,9207.0,9207.0,93.0,93.0,0.0,1.4935698924731184
17,18,mMTC,3000,100,570.0,63.8885,0.0,46.0,,10994.0,0.00124441,10902.0,0.0014975,40.0,10810.0,10810.0,46.0,46.0,0.0,1.4979673913043479
18,19,mMTC,3000,100,571.0,63.7324,0.0,28.0,,6272.0,0.00123138,6216.0,0.00149413,167.0,6160.0,6160.0,28.0,28.0,0.0,1.4945642857142858
19,20,mMTC,3000,100,572.0,64.051,0.0,53.0,,10547.0,0.0012314,10441.0,0.00147912,28.0,10335.0,10335.0,53.0,53.0,0.0,1.4795207547169813
20,21,mMTC,3000,100,573.0,63.8462,0.0,47.0,,5687.0,0.00125501,5593.0,0.00149654,176.0,5499.0,5499.0,47.0,47.0,0.0,1.4968021276595744
21,22,mMTC,3000,100,574.0,63.89790000000001,0.0,79.0,,10586.0,0.00124647,10428.0,0.00149753,128.0,10270.0,10270.0,79.0,79.0,0.0,1.4978227848101264
22,23,mMTC,3000,100,575.0,64.0655,0.0,33.0,,9240.0,0.00123961,9174.0,0.00149336,159.0,9108.0,9108.0,33.0,33.0,0.0,1.4939121212121211
23,24,mMTC,3000,100,576.0,64.0302,0.0,50.0,,5400.0,0.00126214,5300.0,0.00150789,186.0,5200.0,5200.0,50.0,50.0,0.0,1.508134
24,25,mMTC,3000,100,886.0,63.358,0.0,72.0,,15480.0,0.00123442,15336.0,0.00148366,18.0,15192.0,15192.0,72.0,72.0,0.0,1.4840833333333332
25,26,mMTC,3000,100,887.0,63.7811,0.0,60.0,,11760.0,0.00122738,11640.0,0.0014651,17.0,11520.0,11520.0,60.0,60.0,0.0,1.4654883333333333
26,27,mMTC,3000,100,888.0,63.61970000000001,0.0,39.0,,9906.0,0.00124652,9828.0,0.00148023,139.0,9750.0,9750.0,39.0,39.0,0.0,1.4807153846153844
27,28,mMTC,3000,100,889.0,63.70709999999999,0.0,35.0,,8855.0,0.00123163,8785.0,0.0014987,103.0,8715.0,8715.0,35.0,35.0,0.0,1.4991914285714287
28,29,mMTC,3000,100,890.0,63.52900000000001,0.0,68.0,,6528.0,0.0012313,6392.0,0.00148079,183.0,6256.0,6256.0,68.0,68.0,0.0,1.4810441176470588
29,30,mMTC,3000,100,891.0,63.5418,0.0,127.0,,17653.0,0.00122795,17399.0,0.00147612,51.0,17145.0,17145.0,127.0,127.0,0.0,1.4764173228346456
30,31,mMTC,3000,100,892.0,63.9244,0.0,32.0,,7872.0,0.00124732,7808.0,0.00151846,71.0,7744.0,7744.0,32.0,32.0,0.0,1.51893125
31,32,mMTC,3000,100,893.0,63.9243,0.0,40.0,,8400.0,0.00123839,8320.0,0.00149786,129.0,8240.0,8240.0,40.0,40.0,0.0,1.49827
32,33,mMTC,3000,100,894.0,64.1605,0.0,71.0,,10508.0,0.00123732,10366.0,0.00148724,150.0,10224.0,10224.0,71.0,71.0,0.0,1.487549295774648
33,34,mMTC,3000,100,1024.0,63.6918,0.0,47.0,,13160.0,0.00123754,13066.0,0.00148386,113.0,12972.0,12972.0,47.0,47.0,0.0,1.4843893617021275
34,35,mMTC,3000,100,1025.0,63.80819999999999,0.0,43.0,,8772.0,0.00125033,8686.0,0.0015633,174.0,8600.0,8600.0,43.0,43.0,0.0,1.5637046511627906
35,36,mMTC,3000,100,1026.0,63.65840000000001,0.0,20.0,,3700.0,0.0012625,3660.0,0.00150301,175.0,3620.0,3620.0,20.0,20.0,0.0,1.50338
36,37,mMTC,3000,100,1027.0,63.9177,0.0,25.0,,7025.0,0.00124857,6975.0,0.00149244,146.0,6925.0,6925.0,25.0,25.0,0.0,1.492968
37,38,mMTC,3000,100,1028.0,63.6973,0.0,32.0,,7456.0,0.00125067,7392.0,0.00151433,177.0,7328.0,7328.0,32.0,32.0,0.0,1.514784375
38,39,mMTC,3000,100,1029.0,64.1699,0.0,66.0,,9570.0,0.00122608,9438.0,0.00145716,16.0,9306.0,9306.0,66.0,66.0,0.0,1.4574590909090908
39,40,mMTC,3000,100,1030.0,63.8737,0.0,29.0,,4901.0,0.00124409,4843.0,0.00163639,188.0,4785.0,4785.0,29.0,29.0,0.0,1.636741379310345
40,41,mMTC,3000,100,1031.0,63.7657,0.0,24.0,,2592.0,0.00123839,2544.0,0.00148179,192.0,2496.0,2496.0,24.0,24.0,0.0,1.4820333333333333
41,42,mMTC,3000,100,1032.0,63.9702,0.0,29.0,,7337.0,0.00123793,7279.0,0.00150905,142.0,7221.0,7221.0,29.0,29.0,0.0,1.5095344827586208
42,43,mMTC,3000,100,1033.0,63.7813,0.0,7.0,,1372.0,0.00127857,1358.0,0.00137324,196.0,1344.0,1344.0,7.0,7.0,0.0,1.3736342857142856
43,44,mMTC,3000,100,1034.0,64.012,0.0,50.0,,5950.0,0.00124714,5850.0,0.00149404,182.0,5750.0,5750.0,50.0,50.0,0.0,1.49432
44,45,mMTC,3000,100,1035.0,63.58279999999999,0.0,18.0,,3960.0,0.001225,3924.0,0.00147398,173.0,3888.0,3888.0,18.0,18.0,0.0,1.4744833333333331
45,46,mMTC,3000,100,1153.0,64.0222,0.0,42.0,,8358.0,0.00124626,8274.0,0.00150425,141.0,8190.0,8190.0,42.0,42.0,0.0,1.50465
46,47,mMTC,3000,100,1154.0,63.8273,0.0,96.0,,14208.0,0.00123318,14016.0,0.00148027,99.0,13824.0,13824.0,96.0,96.0,0.0,1.4805729166666668
47,48,mMTC,3000,100,1155.0,64.1906,0.0,11.0,,2904.0,0.00124935,2882.0,0.0016544,195.0,2860.0,2860.0,11.0,11.0,0.0,1.6549090909090909
48,49,mMTC,3000,100,1156.0,63.4072,0.0,23.0,,4899.0,0.00124907,4853.0,0.00149762,184.0,4807.0,4807.0,23.0,23.0,0.0,1.4980434782608696
49,50,mMTC,3000,100,1157.0,63.8448,0.0,64.0,,11328.0,0.00124062,11200.0,0.00150274,45.0,11072.0,11072.0,64.0,64.0,0.0,1.5030953125
50,51,mMTC,3000,100,1158.0,63.5542,0.0,41.0,,11398.0,0.00122369,11316.0,0.0014621,90.0,11234.0,11234.0,41.0,41.0,0.0,1.462629268292683
51,52,mMTC,3000,100,1159.0,63.9147,0.0,91.0,,12740.0,0.00124364,12558.0,0.00149915,57.0,12376.0,12376.0,91.0,91.0,0.0,1.4994945054945055
52,53,mMTC,3000,100,1160.0,64.1792,0.0,12.0,,2988.0,0.00125178,2964.0,0.00150983,189.0,2940.0,2940.0,12.0,12.0,0.0,1.5103083333333334
53,54,mMTC,3000,100,1161.0,63.8628,0.0,77.0,,19558.0,0.00123451,19404.0,0.00148105,14.0,19250.0,19250.0,77.0,77.0,0.0,1.4815454545454545
54,55,mMTC,3000,100,1162.0,63.8365,0.0,123.0,,16851.0,0.00123298,16605.0,0.00148329,89.0,16359.0,16359.0,123.0,123.0,0.0,1.4835934959349593
55,56,mMTC,3000,100,1163.0,63.6805,0.0,54.0,,8748.0,0.00124616,8640.0,0.00149032,137.0,8532.0,8532.0,54.0,54.0,0.0,1.4906555555555554
56,57,mMTC,3000,100,1164.0,63.8683,0.0,38.0,,5890.0,0.00125789,5814.0,0.00150904,164.0,5738.0,5738.0,38.0,38.0,0.0,1.5093631578947369
57,58,mMTC,3000,100,1375.0,63.55129999999999,0.0,10.0,,1660.0,0.00126785,1640.0,0.0015491,193.0,1620.0,1620.0,10.0,10.0,0.0,1.54944
58,59,mMTC,3000,100,1376.0,63.493,0.0,16.0,,2304.0,0.00122277,2272.0,0.00143328,187.0,2240.0,2240.0,16.0,16.0,0.0,1.4335875
59,60,mMTC,3000,100,1377.0,63.6124,0.0,14.0,,3962.0,0.00127092,3934.0,0.00153553,170.0,3906.0,3906.0,14.0,14.0,0.0,1.5360642857142857
60,61,mMTC,3000,100,730.0,63.92580000000001,0.0,33.0,,7161.0,0.00126234,7095.0,0.00151931,91.0,7029.0,7029.0,33.0,33.0,0.0,1.5197333333333332
61,62,mMTC,3000,100,731.0,63.8923,0.0,30.0,,7830.0,0.00124762,7770.0,0.00150009,172.0,7710.0,7710.0,30.0,30.0,0.0,1.50059
62,63,mMTC,3000,100,732.0,63.8664,,1.0,,103.0,0.00127857,101.0,0.00135692,200.0,99.0,99.0,1.0,1.0,0.0,1.35716
63,64,mMTC,3000,100,733.0,64.1153,0.0,61.0,,5917.0,0.00123524,5795.0,0.00149365,169.0,5673.0,5673.0,61.0,61.0,0.0,1.4939016393442621
64,65,mMTC,3000,100,734.0,63.864700000000006,0.0,28.0,,7280.0,0.00124796,7224.0,0.00149063,171.0,7168.0,7168.0,28.0,28.0,0.0,1.491125
65,66,mMTC,3000,100,735.0,63.7958,0.0,49.0,,6076.0,0.00125233,5978.0,0.00149844,165.0,5880.0,5880.0,49.0,49.0,0.0,1.4987102040816327
66,67,mMTC,3000,100,,,,,,,,,,,,,,,,
67,68,mMTC,3000,100,201.0,63.6302,0.0,50.0,,9250.0,0.00126857,9150.0,0.0015088,151.0,9050.0,9050.0,50.0,50.0,0.0,1.509174
68,69,mMTC,3000,100,202.0,64.0491,0.0,8.0,,1912.0,0.00125625,1896.0,0.0015418,190.0,1880.0,1880.0,8.0,8.0,0.0,1.5422625
69,70,mMTC,3000,100,203.0,63.58599999999999,0.0,35.0,,7980.0,0.00124592,7910.0,0.00149519,104.0,7840.0,7840.0,35.0,35.0,0.0,1.4956342857142857
70,71,mMTC,3000,100,204.0,64.0203,0.0,27.0,,5994.0,0.00123889,5940.0,0.00147734,42.0,5886.0,5886.0,27.0,27.0,0.0,1.4777740740740741
71,72,mMTC,3000,100,205.0,63.9227,0.0,47.0,,11421.0,0.00124665,11327.0,0.00148917,105.0,11233.0,11233.0,47.0,47.0,0.0,1.489644680851064
72,73,mMTC,3000,100,206.0,63.7805,0.0,28.0,,4256.0,0.00125051,4200.0,0.00150541,179.0,4144.0,4144.0,28.0,28.0,0.0,1.5057214285714287
73,74,mMTC,3000,100,207.0,63.65319999999999,0.0,38.0,,6422.0,0.00125225,6346.0,0.00152541,118.0,6270.0,6270.0,38.0,38.0,0.0,1.5257868421052632
74,75,mMTC,3000,100,208.0,63.94369999999999,0.0,34.0,,7038.0,0.00125441,6970.0,0.00149285,155.0,6902.0,6902.0,34.0,34.0,0.0,1.493276470588235
75,76,mMTC,3000,100,209.0,63.5038,0.0,14.0,,2170.0,0.00125816,2142.0,0.00144788,191.0,2114.0,2114.0,14.0,14.0,0.0,1.4482
76,77,mMTC,3000,100,210.0,63.8955,,1.0,,272.0,0.00152857,270.0,0.00169717,199.0,268.0,268.0,1.0,1.0,0.0,1.69769
77,78,mMTC,3000,100,211.0,63.7922,0.0,50.0,,12850.0,0.00124857,12750.0,0.00150047,119.0,12650.0,12650.0,50.0,50.0,0.0,1.50096
78,79,mMTC,3000,100,212.0,63.7147,0.0,14.0,,3364.0,0.00146224,3336.0,0.00181979,156.0,3312.0,3312.0,12.0,12.0,0.0,1.8203166666666668
79,80,mMTC,3000,100,737.0,64.0865,0.0,42.0,,9324.0,0.00125391,9240.0,0.00152022,54.0,9156.0,9156.0,42.0,42.0,0.0,1.520652380952381
80,81,Web,133000,600,738.0,64.0637,0.0,431.0,,528158.0,0.00124269,527296.0,0.00149235,162.0,526440.0,526440.0,428.0,428.0,0.0,1.494483644859813
81,82,Web,133000,600,739.0,64.1052,0.0,339.0,,322850.0,0.00123875,322172.0,0.00148533,36.0,321498.0,321498.0,337.0,337.0,0.0,1.4869970326409496
82,83,Web,133000,600,740.0,64.0442,0.0,287.0,,242824.0,0.00124323,242250.0,0.00149296,130.0,241680.0,241680.0,285.0,285.0,0.0,1.4944561403508774
83,84,Web,133000,600,741.0,64.0454,0.0,408.0,,383268.0,0.00123953,382452.0,0.0014927,93.0,381640.0,381640.0,406.0,406.0,0.0,1.4943522167487684
84,85,Web,133000,600,1378.0,63.6784,0.0,242.0,,357722.0,0.00126691,357238.0,0.00152096,97.0,356762.0,356762.0,238.0,238.0,0.0,1.523546218487395
85,86,Web,133000,600,1379.0,63.30680000000001,0.0,437.0,,546799.0,0.00122618,545925.0,0.0014773,21.0,545055.0,545055.0,435.0,435.0,0.0,1.479471264367816
86,87,Web,133000,600,1380.0,64.0691,0.0,871.0,,922013.0,0.00122457,920271.0,0.00147498,13.0,918533.0,918533.0,869.0,869.0,0.0,1.4768239355581128
87,88,Web,133000,600,1270.0,63.9031,0.0,217.0,,253168.0,0.0012366,252734.0,0.00148735,120.0,252306.0,252306.0,214.0,214.0,0.0,1.489406542056075
88,89,Web,133000,600,1271.0,64.0545,0.0,336.0,,389114.0,0.0012369,388442.0,0.00148806,72.0,387774.0,387774.0,334.0,334.0,0.0,1.4900838323353294
89,90,Web,133000,600,1272.0,63.9118,0.0,495.0,,589914.0,0.00123218,588924.0,0.00148409,59.0,587940.0,587940.0,492.0,492.0,0.0,1.486172764227642
90,91,Web,133000,600,1273.0,63.7884,0.0,234.0,,330105.0,0.00127643,329637.0,0.00152793,74.0,329175.0,329175.0,231.0,231.0,0.0,1.5303896103896102
91,92,Web,133000,600,1274.0,63.59879999999999,0.0,146.0,,168196.0,0.0012387,167904.0,0.00146547,160.0,167616.0,167616.0,144.0,144.0,0.0,1.467486111111111
92,93,Web,133000,600,1275.0,63.73720000000001,0.0,565.0,,517401.0,0.00123476,516271.0,0.00148631,138.0,515145.0,515145.0,563.0,563.0,0.0,1.4879218472468916
93,94,Web,133000,600,1276.0,63.994699999999995,0.0,261.0,,287494.0,0.00123697,286972.0,0.00148603,147.0,286454.0,286454.0,259.0,259.0,0.0,1.4879613899613902
94,95,Web,133000,600,1277.0,63.702400000000004,0.0,354.0,,356932.0,0.00123095,356224.0,0.00148398,44.0,355520.0,355520.0,352.0,352.0,0.0,1.48575
95,96,Web,133000,600,1278.0,63.9933,0.0,301.0,,286682.0,0.00123384,286080.0,0.00148651,153.0,285484.0,285484.0,298.0,298.0,0.0,1.4881879194630874
96,97,Web,133000,600,1279.0,63.5466,0.0,928.0,,614603.0,0.00123246,612747.0,0.00148231,136.0,610893.0,610893.0,927.0,927.0,0.0,1.4834951456310679
97,98,Web,133000,600,1280.0,64.1099,0.0,216.0,,277562.0,0.00122764,277130.0,0.00147942,10.0,276702.0,276702.0,214.0,214.0,0.0,1.4816635514018692
98,99,Web,133000,600,1281.0,63.7974,0.0,472.0,,354665.0,0.00123347,353721.0,0.0014836,154.0,352779.0,352779.0,471.0,471.0,0.0,1.484927813163482
99,100,Web,133000,600,1381.0,63.9319,0.0,200.0,,296491.0,0.00126339,296091.0,0.00151648,37.0,295697.0,295697.0,197.0,197.0,0.0,1.5190710659898479
100,101,Web,133000,600,1382.0,63.7823,0.0,425.0,,412852.0,0.00123428,412002.0,0.00147931,96.0,411156.0,411156.0,423.0,423.0,0.0,1.4810118203309692
101,102,Web,133000,600,1383.0,64.0746,0.0,501.0,,402502.0,0.00122981,401500.0,0.0014804,64.0,400500.0,400500.0,500.0,500.0,0.0,1.48182
102,103,Web,133000,600,1384.0,63.6781,0.0,221.0,,330716.0,0.00126823,330274.0,0.00151735,161.0,329840.0,329840.0,217.0,217.0,0.0,1.5199723502304145
103,104,Web,133000,600,1385.0,63.3936,0.0,444.0,,475154.0,0.00122572,474266.0,0.00147521,83.0,473382.0,473382.0,442.0,442.0,0.0,1.4770746606334841
104,105,Web,133000,600,1386.0,63.63130000000001,0.0,359.0,,276378.0,0.00122753,275660.0,0.00147563,70.0,274944.0,274944.0,358.0,358.0,0.0,1.4769888268156424
105,106,Web,133000,600,1549.0,63.694399999999995,0.0,827.0,,593896.0,0.00121556,592242.0,0.00146915,47.0,590590.0,590590.0,826.0,826.0,0.0,1.4704237288135593
106,107,Web,133000,600,1550.0,63.8154,0.0,529.0,,364322.0,0.00120991,363264.0,0.00145962,4.0,362208.0,362208.0,528.0,528.0,0.0,1.4608409090909091
107,108,Web,133000,600,1551.0,63.86429999999999,0.0,318.0,,399112.0,0.00121837,398476.0,0.00146644,34.0,397844.0,397844.0,316.0,316.0,0.0,1.4686202531645571
108,109,Web,133000,600,1552.0,63.88270000000001,0.0,532.0,,317009.0,0.00121855,315945.0,0.00146915,124.0,314883.0,314883.0,531.0,531.0,0.0,1.4702146892655366
109,110,Web,133000,600,1553.0,63.72879999999999,0.0,748.0,,654992.0,0.00121655,653496.0,0.00146727,117.0,652004.0,652004.0,746.0,746.0,0.0,1.4688069705093834
110,111,Mobile,166000,800,1554.0,63.7936,0.0,441.0,,520658.0,0.00121508,519776.0,0.0014639,78.0,518898.0,518898.0,439.0,439.0,0.0,1.4659544419134396
111,112,Mobile,166000,800,1555.0,63.7211,0.0,1105.0,,898658.0,0.00121409,896448.0,0.00146439,67.0,894240.0,894240.0,1104.0,1104.0,0.0,1.4658242753623187
112,113,Mobile,166000,800,1556.0,63.3126,0.0,349.0,,334165.0,0.00121359,333467.0,0.00146496,48.0,332773.0,332773.0,347.0,347.0,0.0,1.4666368876080693
113,114,Mobile,166000,800,1557.0,63.96020000000001,0.0,563.0,,649046.0,0.00121539,647920.0,0.00146847,121.0,646800.0,646800.0,560.0,560.0,0.0,1.4704785714285713
114,115,Mobile,166000,800,1558.0,64.1572,0.0,1237.0,,709466.0,0.0012111,706992.0,0.00146106,49.0,704520.0,704520.0,1236.0,1236.0,0.0,1.4620873786407766
115,116,Mobile,166000,800,1559.0,63.7132,0.0,336.0,,330664.0,0.00121405,329992.0,0.00146395,145.0,329324.0,329324.0,334.0,334.0,0.0,1.4656736526946108
116,117,Mobile,166000,800,1560.0,63.7277,0.0,641.0,,877990.0,0.00124118,876708.0,0.00149249,3.0,875430.0,875430.0,639.0,639.0,0.0,1.4948575899843506
117,118,Mobile,166000,800,1618.0,63.55160000000001,0.0,796.0,,581147.0,0.00120593,579555.0,0.0014547,6.0,577965.0,577965.0,795.0,795.0,0.0,1.4559874213836477
118,119,Mobile,166000,800,1619.0,63.8465,0.0,407.0,,462109.0,0.0012139,461295.0,0.00146552,112.0,460485.0,460485.0,405.0,405.0,0.0,1.467501234567901
119,120,Mobile,166000,800,1620.0,63.8319,0.0,462.0,,292737.0,0.00121371,291813.0,0.00146542,143.0,290891.0,290891.0,461.0,461.0,0.0,1.4665488069414316
