ueIndex,imsi,class,perUeCapBps,packetSizeBytes,rnti,avgSinrDb,sinrStdDb,sinrSampleCount,avgMcs,rlcRxBytes,rlcMeanDelayS,pdcpRxBytes,pdcpMeanDelayS,flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,meanDelayMs
0,1,mMTC,3000,100,1,63.4703,0.0,112,27.5,14524,0.00142844,14300,0.00240037,62,14080,14080,110,110,0,2.403227272727273
1,2,mMTC,3000,100,2,63.62669999999999,0.0,112,27.5,14524,0.00142015,14300,0.00238205,63,14080,14080,110,110,0,2.3850454545454545
2,3,mMTC,3000,100,3,64.1317,0.0,112,27.5,14524,0.00143705,14300,0.00241211,64,14080,14080,110,110,0,2.415236363636364
3,4,mMTC,3000,100,4,63.7293,0.0,112,27.5,14524,0.00145841,14300,0.00244217,65,14080,14080,110,110,0,2.4454363636363636
4,5,mMTC,3000,100,5,63.93760000000001,0.0,112,27.5,14524,0.00145969,14300,0.00243813,66,14080,14080,110,110,0,2.441536363636364
5,6,mMTC,3000,100,6,63.7606,0.0,112,27.5,14524,0.00148807,14300,0.00246624,67,14080,14080,110,110,0,2.4697818181818185
6,7,mMTC,3000,100,7,63.6358,0.0,111,27.74774774774775,14522,0.00143397,14300,0.00248007,68,14080,14080,110,110,0,2.4837454545454545
7,8,mMTC,3000,100,8,63.83140000000001,0.0,111,27.74774774774775,14522,0.00146293,14300,0.00251337,69,14080,14080,110,110,0,2.517181818181818
8,9,mMTC,3000,100,9,63.6977,0.0,111,27.74774774774775,14522,0.00145971,14300,0.00252785,70,14080,14080,110,110,0,2.5318
9,10,mMTC,3000,100,10,63.7579,0.0,111,27.74774774774775,14522,0.00149575,14300,0.00255466,71,14080,14080,110,110,0,2.5587454545454547
10,11,mMTC,3000,100,11,63.9882,0.0,111,27.74774774774775,14522,0.00150154,14300,0.00248862,72,14080,14080,110,110,0,2.4928363636363637
11,12,mMTC,3000,100,12,63.6021,0.0,111,27.74774774774775,14522,0.00150411,14300,0.00248621,73,14080,14080,110,110,0,2.4905636363636363
12,13,mMTC,3000,100,101,64.0332,0.0,112,27.5,14524,0.0014007,14300,0.00237114,74,14080,14080,110,110,0,2.375627272727273
13,14,mMTC,3000,100,102,63.9462,0.0,112,27.5,14524,0.0013787,14300,0.00236743,75,14080,14080,110,110,0,2.3720545454545454
14,15,mMTC,3000,100,103,64.0069,0.0,112,27.5,14524,0.00139623,14300,0.00237736,76,14080,14080,110,110,0,2.3821181818181816
