ue_count,kpi,rr,pf,diff,diff_pct
50,parser.avgUeSinrDb,63.807828,63.807828,0.0,0.0
50,parser.avgUeMcs,27.572955590559054,27.56870614462291,-0.004249445936142848,-0.015411644653712253
50,rxtrace.mean_dl_mcs,27.839638281838734,27.839638281838734,0.0,0.0
50,rxtrace.mean_dl_sinr_db,63.84001147199197,63.83998306706857,-2.8404923398284154e-05,-4.449391963337291e-05
50,rxtrace.dl_bler_pct,0.0,0.0,0.0,nan
50,rxtrace.harq_retx,0.0,0.0,0.0,nan
50,parser.avgUeRlcDelayMs,1.3121665999999998,1.3122355999999997,6.899999999987472e-05,0.005258478610861968
50,parser.avgUePdcpDelayMs,1.698229,1.6971713999999998,-0.001057600000000214,-0.06227664231385837
50,run.wallClockSeconds,112.109,112.536,0.4270000000000067,0.380879322801922
100,rrc_connected,100.0,100.0,0.0,0.0
100,agg_dl_throughput_mbps,20.337192533333337,20.337192533333337,0.0,0.0
100,parser.totalRxBytes,76264472.0,76264472.0,0.0,0.0
100,flowmon.lostPackets,0.0,0.0,0.0,nan
100,flowmon.packet_loss_pct,0.00622827887741817,0.00622827887741817,0.0,0.0
100,flowmon.mean_delay_ms,1.9574698993157993,1.9572222047500911,-0.0002476945657081675,-0.012653812239705192
100,flowmon.mean_jitter_ms,0.2595647972861906,0.4833317906961207,0.22376699340993011,86.20852894901978
100,per_ue_tput_min_mbps,0.0037546666666666666,0.0037546666666666666,0.0,0.0
100,per_ue_tput_max_mbps,0.731888,0.731888,0.0,0.0
100,per_ue_tput_CoV,1.2131574096105826,1.2131574096105826,0.0,0.0
100,per_ue_tput_Jain_fairness,0.4045715123641797,0.4045715123641797,0.0,0.0
100,parser.avgUeSinrDb,63.82332399999999,63.82332399999999,0.0,0.0
100,parser.avgUeMcs,27.739383351765,27.755402251361613,0.016018899596613068,0.05774785759826135
100,rxtrace.mean_dl_mcs,27.88155315717653,27.880861410211878,-0.000691746964651685,-0.0024810201955110015
100,rxtrace.mean_dl_sinr_db,63.84492988959186,63.84494203716567,1.2147573812626433e-05,1.9026685178656227e-05
100,rxtrace.dl_bler_pct,0.0,0.0,0.0,nan
100,rxtrace.harq_retx,0.0,0.0,0.0,nan
100,parser.avgUeRlcDelayMs,1.3443110000000003,1.3449403999999998,0.0006293999999995581,0.04681952316090235
100,parser.avgUePdcpDelayMs,1.9514622,1.9512148999999999,-0.00024730000000006136,-0.012672548820062277
100,run.wallClockSeconds,311.52,314.461,2.941000000000031,0.9440806368772571
150,rrc_connected,150.0,150.0,0.0,0.0
150,agg_dl_throughput_mbps,30.364593066666668,30.364593066666668,0.0,0.0
150,parser.totalRxBytes,113867224.0,113867224.0,0.0,0.0
150,flowmon.lostPackets,0.0,0.0,0.0,nan
150,flowmon.packet_loss_pct,0.005839903224458265,0.005839903224458265,0.0,0.0
150,flowmon.mean_delay_ms,2.237280920483232,2.2368816711950568,-0.00039924928817525185,-0.017845290885018485
150,flowmon.mean_jitter_ms,0.3080943787632549,0.7936493102183614,0.4855549314551065,157.59941268782944
150,per_ue_tput_min_mbps,0.0037546666666666666,0.0037546666666666666,0.0,0.0
150,per_ue_tput_max_mbps,0.731888,0.731888,0.0,0.0
150,per_ue_tput_CoV,1.2160617057590184,1.2160617057590184,0.0,0.0
150,per_ue_tput_Jain_fairness,0.4034200219249166,0.4034200219249166,0.0,0.0
150,parser.avgUeSinrDb,63.81022533333334,63.81022533333334,0.0,0.0
150,parser.avgUeMcs,27.853103718333532,27.83504569944389,-0.018058018889643535,-0.06483305800407925
150,rxtrace.mean_dl_mcs,27.924049790321508,27.91801014890608,-0.0060396414154269,-0.02162881623825296
150,rxtrace.mean_dl_sinr_db,63.814836587232904,63.81483595790699,-6.293259104950266e-07,-9.861749150368154e-07
150,rxtrace.dl_bler_pct,0.0,0.0,0.0,nan
150,rxtrace.harq_retx,0.0,0.0,0.0,nan
150,parser.avgUeRlcDelayMs,1.3515362666666666,1.3516102,7.393333333349794e-05,0.0054703181229344205
150,parser.avgUePdcpDelayMs,2.228731466666667,2.2283320666666664,-0.0003994000000004938,-0.01792050796491172
150,run.wallClockSeconds,680.127,670.573,-9.553999999999974,-1.404737644586963
200,rrc_connected,200.0,200.0,0.0,0.0
200,agg_dl_throughput_mbps,40.67438506666667,40.67438506666667,0.0,0.0
200,parser.totalRxBytes,152528944.0,152528944.0,0.0,0.0
200,flowmon.lostPackets,0.0,0.0,0.0,nan
200,flowmon.packet_loss_pct,0.00622827887741817,0.00622827887741817,0.0,0.0
200,flowmon.mean_delay_ms,2.518523405619914,2.5217090265188022,0.003185620898888075,0.1264876431872572
