metric	value
configuredUeCount	1
rrcConnectedCount	1
simulatedSeconds	30
wallClockSeconds	5.14836
rngSeed	20260901
rngRun	1
actualRbCount	189
noiseEnabled	true
noiseModel	lognormal_rate_jitter_v1
