imsi,cellId,rnti,attachStartMs,rrcSetupCompleteMs,initialUeMessageMs,authRequestMs,authResponseMs,securityModeCommandNasMs,securityModeCompleteNasMs,initialContextSetupRequestMs,securityModeCommandAsMs,securityModeCompleteAsMs,ueCapabilityEnquiryMs,ueCapabilityInformationMs,initialContextSetupResponseMs,registrationAcceptMs,registrationCompleteMs,pduSessionEstablishmentRequestMs,pduSessionResourceSetupRequestMs,rrcReconfigurationDrbMs,rrcReconfigurationCompleteMs,pduSessionResourceSetupResponseMs,dataReadyMs,rrcSetupLatencyMs,firstDataPacketTimeMs,attachToFirstDataPacketLatencyMs,coreSignalingLatencyMs,totalAttachToDataLatencyMs
1,1,1,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.564,669.564,1.8,19.8357
2,1,2,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.529,669.529,1.8,19.8357
3,1,3,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.493,669.493,1.8,19.8357
4,1,4,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,670.064,670.064,1.8,19.8357
5,1,5,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.386,669.386,1.8,19.8357
6,1,6,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.993,669.993,1.8,19.8357
7,1,7,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.921,669.921,1.8,19.8357
8,1,8,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.85,669.85,1.8,19.8357
9,1,9,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.779,669.779,1.8,19.8357
10,1,10,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,669.707,669.707,1.8,19.8357
11,1,11,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,440.85,440.85,1.8,19.8357
12,1,12,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,440.814,440.814,1.8,19.8357
13,1,26,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,440.886,440.886,1.8,23.8357
14,1,27,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,440.921,440.921,1.8,23.8357
15,1,28,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,443.243,443.243,1.8,23.8357
16,1,29,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,443.279,443.279,1.8,23.8357
17,1,30,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,443.207,443.207,1.8,23.8357
18,1,31,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,443.171,443.171,1.8,23.8357
19,1,32,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.743,417.743,1.8,23.8357
20,1,33,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.707,417.707,1.8,23.8357
21,1,34,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.671,417.671,1.8,23.8357
22,1,35,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,424.743,424.743,1.8,23.8357
23,1,36,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,424.707,424.707,1.8,23.8357
24,1,39,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,424.671,424.671,1.8,28.3357
25,1,40,0,26.5357,26.6357,26.7357,26.8357,26.9357,27.0357,27.1357,27.2357,27.3357,27.4357,27.5357,27.6357,27.7357,27.8357,27.9357,28.0357,28.1357,28.2357,28.3357,28.3357,26.5357,425.957,425.957,1.8,28.3357
