metric	value
configuredUeCount	150
rrcConnectedCount	150
modeledHopDelayMs	0.1
meanRrcSetupLatencyMs	45.0224
firstDataPacketObservedCountMEASURED	150
meanFirstDataPacketTimeMsMEASURED	529.404
meanAttachToFirstDataPacketLatencyMsMEASURED	529.404
meanCoreSignalingLatencyMsMODELED	1.8
meanTotalAttachToDataLatencyMsMODELED	46.8224
simulatedSeconds	10
wallClockSeconds	207.159
rngSeed	20260901
rngRun	1
