imsi,cellId,rnti,attachStartMs,rrcSetupCompleteMs,initialUeMessageMs,authRequestMs,authResponseMs,securityModeCommandNasMs,securityModeCompleteNasMs,initialContextSetupRequestMs,securityModeCommandAsMs,securityModeCompleteAsMs,ueCapabilityEnquiryMs,ueCapabilityInformationMs,initialContextSetupResponseMs,registrationAcceptMs,registrationCompleteMs,pduSessionEstablishmentRequestMs,pduSessionResourceSetupRequestMs,rrcReconfigurationDrbMs,rrcReconfigurationCompleteMs,pduSessionResourceSetupResponseMs,dataReadyMs,rrcSetupLatencyMs,firstDataPacketTimeMs,attachToFirstDataPacketLatencyMs,coreSignalingLatencyMs,totalAttachToDataLatencyMs
1,1,1,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.279,672.279,1.8,19.8357
2,1,2,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.35,672.35,1.8,19.8357
3,1,3,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.421,672.421,1.8,19.8357
4,1,4,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.493,672.493,1.8,19.8357
5,1,5,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.529,672.529,1.8,19.8357
6,1,6,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.564,672.564,1.8,19.8357
7,1,7,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,674.421,674.421,1.8,19.8357
8,1,8,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,672.064,672.064,1.8,19.8357
9,1,9,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,674.457,674.457,1.8,19.8357
10,1,10,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,674.493,674.493,1.8,19.8357
11,1,11,0,18.0357,18.1357,18.2357,18.3357,18.4357,18.5357,18.6357,18.7357,18.8357,18.9357,19.0357,19.1357,19.2357,19.3357,19.4357,19.5357,19.6357,19.7357,19.8357,19.8357,18.0357,674.529,674.529,1.8,19.8357
117,1,151,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.814,417.814,1.8,23.8357
118,1,152,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.85,417.85,1.8,23.8357
119,1,153,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.886,417.886,1.8,23.8357
120,1,154,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.921,417.921,1.8,23.8357
121,1,155,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.957,417.957,1.8,23.8357
122,1,156,0,22.0357,22.1357,22.2357,22.3357,22.4357,22.5357,22.6357,22.7357,22.8357,22.9357,23.0357,23.1357,23.2357,23.3357,23.4357,23.5357,23.6357,23.7357,23.8357,23.8357,22.0357,417.993,417.993,1.8,23.8357
